Испытание; 
Время;13:26:47
Оператор;программист Бондарчук А. В.
Серийный номер;24
Наименование;2.7030.31.38.011.00(75)
Максимальная длина;370
Минимальная длина;290
Скорость;0.075
Мин усилие сжатия;4000
Макс усилие сжатия;5000
Мин усилие отбоя;3000
Макс усилие отбоя;4000
Макс температура;28.94
Сопротивление;54.0
Усилие;Перемещение
0;-313
0,01;-291
0,02;-259
0,02;-225
0,03;-188
0,04;-150
0,05;-110
0,06;-86
0,07;-73
0,08;-46
0,09;-23
0,11;-7
0,13;31
0,15;54
0,16;73
0,18;90
0,2;112
0,21;118
0,23;140
0,25;158
0,28;185
0,31;200
0,33;202
0,35;202
0,38;237
0,4;251
0,43;244
0,45;281
0,47;284
0,51;291
0,54;326
0,58;331
0,61;354
0,64;397
0,67;371
0,7;400
0,74;440
0,78;447
0,81;476
0,85;486
0,89;505
0,93;532
0,97;544
1,01;564
1,05;596
1,09;617
1,14;620
1,18;646
1,22;675
1,27;706
1,32;704
1,37;721
1,42;751
1,47;775
1,51;790
1,56;806
1,62;827
1,67;849
1,72;881
1,78;889
1,83;917
1,89;928
1,95;951
2,01;976
2,06;987
2,12;1011
2,19;1031
2,25;1049
2,31;1079
2,36;1136
2,43;1126
2,49;1156
2,56;1194
2,62;1215
2,69;1257
2,76;1266
2,83;1287
2,89;1335
2,96;1379
3,03;1391
3,1;1414
3,18;1465
3,25;1495
3,32;1534
3,39;1569
3,47;1591
3,55;1651
3,62;1691
3,7;1719
3,78;1742
3,86;1793
3,94;1849
4,02;1889
4,1;1922
4,18;1968
4,26;1999
4,35;2095
4,43;2167
4,51;2262
4,59;2295
4,68;2400
4,77;2452
4,85;2534
4,94;2610
5,03;2666
5,12;2764
5,21;2835
5,3;2897
5,38;2962
5,48;3013
5,57;3093
5,66;3159
5,76;3238
5,85;3311
5,95;3366
6,05;3432
6,14;3469
6,24;3482
6,34;3508
6,44;3552
6,54;3591
6,64;3612
6,74;3640
6,84;3656
6,95;3711
7,05;3734
7,15;3716
7,25;3709
7,35;3726
7,46;3749
7,57;3787
7,67;3808
7,79;3808
7,9;3851
8;3863
8,11;3871
8,22;3857
8,33;3860
8,44;3880
8,56;3916
8,67;3922
8,78;3929
8,9;3901
9,01;3943
9,13;3982
9,24;3964
9,35;3945
9,46;3945
9,59;3954
9,7;4006
9,82;4011
